,Product_Category,Product_Sub_Category,Prod_ID
0,OFFICE SUPPLIES,STORAGE & ORGANIZATION,Prod_1
1,OFFICE SUPPLIES,APPLIANCES,Prod_2
2,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,Prod_3
3,TECHNOLOGY,TELEPHONES AND COMMUNICATION,Prod_4
4,FURNITURE,OFFICE FURNISHINGS,Prod_5
5,OFFICE SUPPLIES,PAPER,Prod_6
6,OFFICE SUPPLIES,RUBBER BANDS,Prod_7
7,TECHNOLOGY,COMPUTER PERIPHERALS,Prod_8
8,OFFICE SUPPLIES,ENVELOPES,Prod_9
9,FURNITURE,BOOKCASES,Prod_10
10,FURNITURE,TABLES,Prod_11
11,OFFICE SUPPLIES,LABELS,Prod_12
12,OFFICE SUPPLIES,PENS & ART SUPPLIES,Prod_13
13,TECHNOLOGY,COPIERS AND FAX,Prod_14
14,FURNITURE,CHAIRS & CHAIRMATS,Prod_15
15,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",Prod_16
16,TECHNOLOGY,OFFICE MACHINES,Prod_17
